variable,n_total,n_complete,n_missing,pct_miss
pir_cat,5014,4361,653,13
fiber_g,5014,4557,457,9.1
vitc_mg,5014,4557,457,9.1
energy_kcal,5014,4557,457,9.1
dbp,5014,4761,253,5
sbp,5014,4775,239,4.8
hypertension,5014,4841,173,3.5
crp,5014,4903,111,2.2
total_chol,5014,4931,83,1.7
hdl_chol,5014,4931,83,1.7
bmi,5014,4937,77,1.5
bmi_cat,5014,4937,77,1.5
educ,5014,5003,11,0.2
age,5014,5014,0,0
sex,5014,5014,0,0
race_eth,5014,5014,0,0
smoke_status,5014,5014,0,0
blood_lead,5014,5014,0,0
blood_cad,5014,5014,0,0
blood_hg,5014,5014,0,0
hba1c,5014,5014,0,0
hba1c_elevated,5014,5014,0,0
